Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL214276,,None,447.56,0,4.6,7a,COc1cc(-n2cnc3cc(-c4ccccc4)sc3c2=O)ccc1OCCN1CCCC1,IC50,'=',1.995,nM,8.7,,,UO_0000065,,,,,0,CHEMBL908026,Antagonist activity against human MCHR1 expressed in CHO cells by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1149352,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308072,,
CHEMBL206081,,None,436.46,0,2.92,25,COc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,IC50,'=',6,nM,8.22,,,UO_0000065,18.84,0.35,5.3,9.11,0,CHEMBL860697,Displacement of [125I]MCH from MCHr1 expressed in IMR32 (I3.4.2) cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146094,1,Scientific Literature,J Med Chem,2006,None,,
CHEMBL384988,,None,491.02,1,5.15,46,O=c1c2sc(-c3ccc(Cl)cc3)cc2ncn1-c1ccc2[nH]c(NCCN3CCCC3)nc2c1,IC50,'=',6.31,nM,8.2,,,UO_0000065,,,,,0,CHEMBL871566,Antagonist activity against MCH1R expressed in CHO cells assessed as inhibition of MCH-induced EC80 thrombin response by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146879,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308072,,
CHEMBL425982,,None,393.86,0,4.23,36,Nc1nc2cc(-n3cnc4cc(-c5ccc(Cl)cc5)sc4c3=O)ccc2[nH]1,IC50,'=',31.62,nM,7.5,,,UO_0000065,,,,,0,CHEMBL871566,Antagonist activity against MCH1R expressed in CHO cells assessed as inhibition of MCH-induced EC80 thrombin response by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146879,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308072,,
CHEMBL265132,,None,501.7,2,5.85,18,Cc1ccc(Sc2ccc(C(=O)NCCN3CCCC3)cc2NC(=O)CCc2ccccc2)cc1C,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL863645,Inhibition of [125I]MCH binding to human MCHR1 expressed in HEK293 cells by HT-SPA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146880,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3307715,,
CHEMBL210069,,None,445.95,1,5.32,17c,CN(C)C1CCN(c2ccc(-c3coc4cc(-c5ccc(Cl)cc5)ccc4c3=O)cn2)C1,IC50,'=',10,nM,8,,,UO_0000065,,,,,0,CHEMBL865484,Activity at human MCH1R by GTPgammaS assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146192,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL424728,,None,430.43,0,4.57,ADS102891,Cc1nc(N2CCCC2)nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc12,IC50,'=',165,nM,6.78,,,UO_0000065,15.76,0.3,2.21,10.07,0,CHEMBL854906,Displacement of 125I-[Phe13,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3794306,,None,445.47,1,5.26,6v,Cn1c(C2CC2)nc2ccc(-n3ccc(OCc4ccc(C(F)(F)F)s4)cc3=O)cc21,IC50,'=',18,nM,7.75,,,UO_0000065,,,,,0,CHEMBL3795750,Antagonist activity at human MCHR1 expressed in CHO cells assessed as change in MCH(4 to 19)-stimulated Ca2+ concentration by Ca2+ mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3792381,1,Scientific Literature,Bioorg Med Chem,2016,CHEMBL3308072,,
CHEMBL3794256,,None,405.89,1,5.06,8j,Cc1c2cc(-n3ccc(OCc4ccc(Cl)cc4)cc3=O)ccc2nn1C1CC1,IC50,'=',31,nM,7.51,,,UO_0000065,18.5,0.35,2.45,15.31,0,CHEMBL3795818,Displacement of [125I]-MCH(4 to 19) from human MCHR1 expressed in CHO cell membranes after 1 hr liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3792310,1,Scientific Literature,Bioorg Med Chem,2016,CHEMBL3308072,,
CHEMBL3601029,,None,340.47,0,3.52,29,COc1ccc(CCCNc2ccc(CN3CCCCC3)cc2)nn1,IC50,'>',3000,nM,,,,UO_0000065,,,,,0,CHEMBL3602719,Displacement of [125I-MCH] from human MCH receptor 1 expressed in CHO cell membranes by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3600324,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3308072,,
CHEMBL3600977,,None,433.98,1,6.31,10,O=C(NCc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,IC50,'=',899,nM,6.05,,,UO_0000065,13.93,0.27,-0.26,13.63,0,CHEMBL3602719,Displacement of [125I-MCH] from human MCH receptor 1 expressed in CHO cell membranes by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3600324,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3308072,,
CHEMBL3600975,,None,434.97,1,6.01,8,O=C(COc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,IC50,'=',94,nM,7.03,,,UO_0000065,16.15,0.31,1.02,16.9,0,CHEMBL3602719,Displacement of [125I-MCH] from human MCH receptor 1 expressed in CHO cell membranes by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3600324,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3308072,,
CHEMBL3600972,,None,430.98,1,6.64,5,O=C(/C=C/c1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,IC50,'=',16,nM,7.8,,,UO_0000065,18.09,0.34,1.16,24.11,0,CHEMBL3602719,Displacement of [125I-MCH] from human MCH receptor 1 expressed in CHO cell membranes by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3600324,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3308072,,
CHEMBL207257,,None,456.98,1,5.29,3l,Cn1c(=O)c(C#N)c(NC2CCN(Cc3ccc4ccccc4c3)CC2)c2cc(Cl)ccc21,IC50,'=',12,nM,7.92,,,UO_0000065,17.33,0.33,2.63,12.97,0,CHEMBL865033,Displacement of [125I]MCH from MCHr1 expressed in IMR32 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147687,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3307656,,
CHEMBL197232,,None,475.98,0,4.94,35,Clc1ccc2c(c1)c(NC1CCN(Cc3ccc4c(c3)OCO4)CC1)nn2Cc1ccccn1,IC50,'=',9,nM,8.05,,,UO_0000065,16.9,0.32,3.11,12.49,0,CHEMBL860146,Binding affinity to human MCHr1 from neuronal IMR32 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141935,1,Scientific Literature,Bioorg Med Chem Lett,2005,CHEMBL3307656,,
CHEMBL183159,,None,258.36,0,4.02,(d)-1 Enantiomer,CC(CC(C)(C)C)Oc1cccc2ccc(N)nc12,IC50,'=',550,nM,6.26,,,UO_0000065,24.23,0.45,2.24,13,0,CHEMBL832326,Concentration required to inhibit binding of [125I]MCH radioligand to human melanin-concentrating hormone receptor 1 in IMR-32 I3.4.2 cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137102,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,
CHEMBL364377,,None,256.35,0,3.78,A-224940,Nc1ccc2cccc(OCC3CCCCC3)c2n1,IC50,'=',1680,nM,5.78,,,UO_0000065,,,,,1,CHEMBL835734,Concentration required to inhibit 50% of melanin-concentrating hormone induced [Ca2+] flux in IMR-32 cells measured by using a fluorometric imaging plate reader,F,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137870,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3307656,,
CHEMBL183159,,None,258.36,0,4.02,(d)-1 Enantiomer,CC(CC(C)(C)C)Oc1cccc2ccc(N)nc12,IC50,'=',20,nM,7.7,,,UO_0000065,29.8,0.55,3.68,15.99,1,CHEMBL832324,Concentration required to inhibit binding of [125I]-MCH radioligand to human Melanin-concentrating hormone receptor 1 in IMR-32 I3.4.2 cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137870,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,
CHEMBL371576,,None,449.53,0,3.79,33,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)CCC(=O)Nc3ccc(F)cc3)cc12,IC50,'=',224,nM,6.65,,,UO_0000065,14.79,0.28,2.86,8.57,0,CHEMBL871630,Displacement of 150p M [125I]MCH from human MCH1R expressed in CHO-K1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL435494,,None,470.5,0,4.93,40,CCN1CCN(c2ccc3cc(NC(=O)/C=C/c4ccc(OC(F)(F)F)cc4)ccc3n2)CC1,IC50,'=',29,nM,7.54,,,UO_0000065,16.02,0.3,2.61,13.06,0,CHEMBL871627,Displacement of 15 pM [125I]MCH from human MCH1R expressed in CHO-K1 in whole-cell binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL195351,,None,456.47,0,4.5,52,Cc1cc(N2CCNCC2)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,IC50,'=',4,nM,8.4,,,UO_0000065,18.4,0.35,3.9,12.63,0,CHEMBL871627,Displacement of 15 pM [125I]MCH from human MCH1R expressed in CHO-K1 in whole-cell binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140405,1,Scientific Literature,J Med Chem,2005,CHEMBL3307512,,
CHEMBL194523,,None,394.9,1,5.04,2,O=c1cc(NC2CCN(C/C=C/c3ccccc3)CC2)c2cc(Cl)ccc2o1,IC50,'=',9,nM,8.05,,,UO_0000065,20.37,0.39,3.01,17.69,0,CHEMBL880563,Inhibitory concentration aganist melanin concentrating hormone receptor 1 expressed in IMR-32 cells using [125I]MCH,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141081,1,Scientific Literature,J Med Chem,2005,CHEMBL3307656,,
CHEMBL370608,,None,409.87,0,4.66,11,O=c1cc(NC2CCN(Cc3ccc4ncoc4c3)CC2)c2cc(Cl)ccc2o1,IC50,'=',75,nM,7.12,,,UO_0000065,17.38,0.34,2.46,9.96,0,CHEMBL880563,Inhibitory concentration aganist melanin concentrating hormone receptor 1 expressed in IMR-32 cells using [125I]MCH,B,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141081,1,Scientific Literature,J Med Chem,2005,CHEMBL3307656,,
CHEMBL198727,,None,407.9,1,5,14,O=c1cc(NC2CCN(Cc3ccc4cc[nH]c4c3)CC2)c2cc(Cl)ccc2o1,IC50,'=',28,nM,7.55,,,UO_0000065,,,,,0,CHEMBL871872,Inhibition of melanin concentrating hormone receptor 1 mediated [Ca2+] release in IMR-32 cells in Ca+2 release cell assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141081,1,Scientific Literature,J Med Chem,2005,CHEMBL3307656,,
CHEMBL183159,,None,258.36,0,4.02,61 (I)-Enantiomer,CC(CC(C)(C)C)Oc1cccc2ccc(N)nc12,IC50,'=',4510,nM,5.35,,,UO_0000065,,,,,0,CHEMBL835733,Concentration required to inhibit 50% of melanin-concentrating hormone induced [Ca2+] flux in IMR-32 cells measured by using a fluorometric imaging plate reader,F,BAO_0000219,cell-based format,Homo sapiens,None,None,IMR-32,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137102,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3307656,,
CHEMBL184590,,None,285.39,0,3.12,9,CC(CNC1CCCC1)Oc1cccc2ccc(N)nc12,IC50,'=',30,nM,7.52,,,UO_0000065,26.36,0.49,4.4,12.5,0,CHEMBL832324,Concentration required to inhibit binding of [125I]-MCH radioligand to human Melanin-concentrating hormone receptor 1 in IMR-32 I3.4.2 cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137870,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,
CHEMBL182466,,None,453.37,0,4.72,33,CCN(CC)CCNC(=O)c1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1OC,IC50,'=',710,nM,6.15,,,UO_0000065,13.56,0.28,1.43,7.43,0,CHEMBL828687,Binding affinity against human Melanin-concentrating hormone receptor 1 stably transfected CHO cells was determined using scintillation proximity assay (SPA),B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137103,1,Scientific Literature,Bioorg Med Chem Lett,2004,CHEMBL3308072,,
CHEMBL181251,,None,538.37,2,5.07,17,CN(C)c1nc(NC2CCN(C(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc2ccccc12,IC50,'=',1200,nM,5.92,,,UO_0000065,11,0.24,0.85,8.39,0,CHEMBL832373,Inhibitory activity against human CA-MCH-R1 (Melanin-concentrating hormone receptor 1) by using [125I](Phe13,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL178084,,None,538.41,2,5.87,16 (cis),CN(C)c1nc(NC2CCC(NCc3ccc(Br)cc3OC(F)(F)F)CC2)nc2ccccc12,IC50,'=',35,nM,7.46,,,UO_0000065,13.85,0.3,1.59,11.97,0,CHEMBL832373,Inhibitory activity against human CA-MCH-R1 (Melanin-concentrating hormone receptor 1) by using [125I](Phe13,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2403864,,None,442.61,0,4.93,21,Cc1ccc2c(c1)nc(C(C)(C)O)n2[C@H]1CC[C@@H](NC[C@H]2Cc3ccc(C#N)cc3C2)CC1,IC50,'=',8.7,nM,8.06,,,UO_0000065,18.21,0.33,3.13,10.91,0,CHEMBL2406561,Displacement of [125I]MCH peptide from human MCHR1 expressed in CHOK1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401722,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307512,,
CHEMBL1540447,,None,366.42,0,2.47,SID24837221,CCN(CC(=O)Nc1cccc(C#N)c1)CC(=O)Nc1cccc(OC)c1,IC50,'=',27917,nM,4.55,,Not Active,UO_0000065,,,,,0,CHEMBL1614083,PUBCHEM_BIOASSAY: Fluorescence-based counterscreen for antagonists of the G-protein coupled receptor 7 (GPR7): cell-based high throughput dose response assay to identify antagonists of the melanin-concentrating hormone receptor 1 (MCHR1). (Class of assay: confirmatory) [Related pubchem assays: 1880 (Summary AID.),,,,,,,,,,,,,,,,,,,,,,,
